rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated,accepted_sets,accepted_pvals
12,shat,6,6,0,0,0.0,"6,7,9,10,11","0,1,3,4,5","[(0, 1, 3, 4, 5)]",[]
12,sgreedy,6,6,0,0,0.0,"6,7,9,10,11","0,1,3,4,5","[(0, 1, 3, 4, 5)]",[0.0015893109036905278]
13,shat,6,0,6,5,0.8333333333333334,"0,1,2,4,5,10","0,1,2,4,5,10","[(3,), (0, 3), (0, 8), (4, 10), (0, 4, 10), (0, 1, 4, 10), (0, 1, 2, 4, 10), (0, 1, 2, 4, 5, 10)]","[0.6348568670451994, 0.40060649890536054, 0.016060737246097273, 0.33007438124748284, 0.06823142376153574, 0.3452147998326469, 0.3652384494314614, 0.5117079049748482]"
13,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,4,8","0,1,2,3,4,8","[(3,), (3, 4), (0, 3, 4), (0, 1, 3, 4), (0, 1, 2, 3, 4), (0, 1, 2, 3, 4, 8), (0, 1, 2, 3, 4, 5, 8), (0, 1, 2, 3, 4, 8)]","[0.6348568670451994, 0.19900921740567667, 0.44174490864489313, 0.36293596508560666, 0.570831887896303, 0.6732683767312357, 0.7423088787493177, 0.6732683767312357]"
13,shat,6,1,5,3,0.6,"1,2,4,10","0,1,3,9","[(2,), (0, 2), (2, 3), (3, 9), (0, 3, 9), (0, 1, 3, 9)]","[0.6348568670451994, 0.6989250616771772, 0.19900921740567667, 0.33007438124748284, 0.6216664773070362, 0.7671762516110306]"
13,sgreedy,6,1,5,4,0.8,"1,2,3,4,8","0,1,2,3,7","[(2,), (2, 3), (0, 2, 3), (0, 1, 2, 3), (0, 1, 2, 3, 7), (0, 1, 2, 3, 4, 7), (0, 1, 2, 3, 7)]","[0.6348568670451994, 0.19900921740567667, 0.207042928069202, 0.5613656542306911, 0.6739910608944686, 0.6428497938479927, 0.6739910608944686]"
13,shat,6,2,4,3,0.75,"2,4,5,10","0,2,3,8","[(1,), (0, 1), (0, 2), (1, 2), (2, 8), (0, 2, 8), (0, 2, 3, 8)]","[0.6348568670451994, 0.21371001496307415, 0.012364148587702102, 0.19900921740567667, 0.33007438124748284, 0.37420310471133417, 0.37423704785436623]"
13,sgreedy,6,2,4,3,0.75,"2,3,4,8","0,1,2,6","[(1,), (1, 2), (0, 1, 2), (0, 1, 2, 6), (0, 1, 2, 3, 6), (0, 1, 2, 6)]","[0.6348568670451994, 0.19900921740567667, 0.4125730486847342, 0.4546723398369086, 0.47667340525484025, 0.4546723398369086]"
13,shat,6,3,3,2,0.6666666666666666,"4,5,10","1,2,7","[(0,), (0, 1), (1, 7), (1, 2, 7)]","[0.6348568670451994, 0.19900921740567667, 0.33007438124748284, 0.3600402767906462]"
13,sgreedy,6,3,3,2,0.6666666666666666,"3,4,8","0,1,5","[(0,), (0, 1), (0, 1, 5), (0, 1, 2, 5), (0, 1, 5)]","[0.6348568670451994, 0.19900921740567667, 0.26290783170654747, 0.2643394507115788, 0.26290783170654747]"
13,shat,6,4,2,2,1.0,"4,5,10","0,1,6","[(0, 6), (0, 1, 6)]","[0.33007438124748284, 0.3600402767906462]"
13,sgreedy,6,4,2,2,1.0,"4,5,10","0,1,6","[(0, 1, 6), (0, 6), (0, 1, 6)]","[0.3600402767906462, 0.33007438124748284, 0.3600402767906462]"
13,shat,6,5,1,1,1.0,5,0,"[(0,)]",[]
13,sgreedy,6,5,1,1,1.0,5,0,"[(0,)]",[0.005487758357668784]
13,shat,6,6,0,0,0.0,10,4,"[(4,)]",[]
13,sgreedy,6,6,0,0,0.0,10,4,"[(4,)]",[7.532185101354599e-05]
